,Precio_apertura,Precio_mas_alto,Precio_mas_bajo,Precio_cierre,Accion,Indice,Fecha_Oct,Precio_apertura,Precio_mas_alto,Precio_mas_bajo,Precio_cierre,Accion,Indice,Fecha_Sep
60,3289.01,3309.1699,3255.9399,3283.26,AMZN,XNAS,2021-10-01T00:00:00+0000,3496.396,3526.499,3475.24,3479.0,AMZN,XNAS,2021-09-01T00:00:00+0000
59,3279.3899,3279.3899,3176.25,3189.78,AMZN,XNAS,2021-10-04T00:00:00+0000,3494.76,3511.9607,3455.29,3463.1201,AMZN,XNAS,2021-09-02T00:00:00+0000
56,3204.5,3260.6899,3202.4641,3221.0,AMZN,XNAS,2021-10-05T00:00:00+0000,3452.0,3482.6699,3436.4399,3478.05,AMZN,XNAS,2021-09-03T00:00:00+0000
53,3213.53,3264.3401,3198.6201,3262.01,AMZN,XNAS,2021-10-06T00:00:00+0000,3478.0,3528.0901,3476.9399,3509.29,AMZN,XNAS,2021-09-07T00:00:00+0000
50,3291.54,3325.4851,3283.0601,3302.4299,AMZN,XNAS,2021-10-07T00:00:00+0000,3511.6499,3545.6299,3495.6699,3525.5,AMZN,XNAS,2021-09-08T00:00:00+0000
46,3317.0,3321.4299,3288.2,3288.6201,AMZN,XNAS,2021-10-08T00:00:00+0000,3526.02,3549.99,3480.3701,3484.1599,AMZN,XNAS,2021-09-09T00:00:00+0000
43,3275.0,3292.5898,3238.1001,3246.3,AMZN,XNAS,2021-10-11T00:00:00+0000,3501.8301,3508.45,3462.9099,3469.1499,AMZN,XNAS,2021-09-10T00:00:00+0000
40,3257.0,3267.5281,3236.28,3247.3301,AMZN,XNAS,2021-10-12T00:00:00+0000,3482.8,3497.96,3438.0,3457.1699,AMZN,XNAS,2021-09-13T00:00:00+0000
37,3269.71,3288.3799,3261.1289,3284.28,AMZN,XNAS,2021-10-13T00:00:00+0000,3475.55,3486.3523,3437.7104,3450.0,AMZN,XNAS,2021-09-14T00:00:00+0000
34,3302.45,3312.1699,3290.78,3299.8601,AMZN,XNAS,2021-10-14T00:00:00+0000,3442.52,3485.1499,3402.01,3475.79,AMZN,XNAS,2021-09-15T00:00:00+0000
32,3311.4199,3410.4199,3304.0,3409.02,AMZN,XNAS,2021-10-15T00:00:00+0000,3459.96,3492.55,3446.1433,3488.24,AMZN,XNAS,2021-09-16T00:00:00+0000
28,3388.3577,3449.1399,3385.2,3446.74,AMZN,XNAS,2021-10-18T00:00:00+0000,3488.4099,3497.4099,3452.1299,3462.52,AMZN,XNAS,2021-09-17T00:00:00+0000
25,3434.29,3454.6899,3422.0,3444.1499,AMZN,XNAS,2021-10-19T00:00:00+0000,3396.0,3419.0,3305.01,3355.73,AMZN,XNAS,2021-09-20T00:00:00+0000
23,3452.6599,3462.8601,3400.3701,3415.0601,AMZN,XNAS,2021-10-20T00:00:00+0000,3375.0,3379.5,3332.3899,3343.6299,AMZN,XNAS,2021-09-21T00:00:00+0000
20,3414.25,3440.28,3404.3201,3435.01,AMZN,XNAS,2021-10-21T00:00:00+0000,3351.0,3388.9451,3341.05,3380.05,AMZN,XNAS,2021-09-22T00:00:00+0000
15,3421.0,3429.8401,3331.3,3335.55,AMZN,XNAS,2021-10-22T00:00:00+0000,3380.05,3428.96,3380.05,3416.0,AMZN,XNAS,2021-09-23T00:00:00+0000
12,3335.0,3347.7998,3297.7,3320.3701,AMZN,XNAS,2021-10-25T00:00:00+0000,3402.01,3429.26,3393.3999,3425.52,AMZN,XNAS,2021-09-24T00:00:00+0000
11,3349.51,3416.1201,3345.48,3376.0701,AMZN,XNAS,2021-10-26T00:00:00+0000,3371.5,3415.47,3339.6101,3405.8,AMZN,XNAS,2021-09-27T00:00:00+0000
8,3388.0,3437.0,3371.4534,3392.49,AMZN,XNAS,2021-10-27T00:00:00+0000,3357.71,3369.1899,3290.1001,3315.96,AMZN,XNAS,2021-09-28T00:00:00+0000
5,3402.095,3479.0,3386.0,3446.5701,AMZN,XNAS,2021-10-28T00:00:00+0000,3322.1101,3351.3,3297.8701,3301.1201,AMZN,XNAS,2021-09-29T00:00:00+0000
2,3300.02,3374.8201,3273.3201,3372.4299,AMZN,XNAS,2021-10-29T00:00:00+0000,3316.0,3327.8501,3274.1101,3285.04,AMZN,XNAS,2021-09-30T00:00:00+0000
61,282.1217,289.98,281.31,289.1,MSFT,XNAS,2021-10-01T00:00:00+0000,302.865,305.18,301.49,301.83,MSFT,XNAS,2021-09-01T00:00:00+0000
58,287.4,287.75,280.25,283.11,MSFT,XNAS,2021-10-04T00:00:00+0000,302.2,303.3602,300.18,301.15,MSFT,XNAS,2021-09-02T00:00:00+0000
55,284.0464,290.398,284.0464,288.76,MSFT,XNAS,2021-10-05T00:00:00+0000,300.99,302.6,300.26,301.14,MSFT,XNAS,2021-09-03T00:00:00+0000
52,285.78,293.63,285.5093,293.11,MSFT,XNAS,2021-10-06T00:00:00+0000,301.005,301.02,298.2,300.18,MSFT,XNAS,2021-09-07T00:00:00+0000
49,295.175,296.64,293.93,294.85,MSFT,XNAS,2021-10-07T00:00:00+0000,299.78,300.61,297.4651,300.21,MSFT,XNAS,2021-09-08T00:00:00+0000
47,296.22,296.64,293.76,294.85,MSFT,XNAS,2021-10-08T00:00:00+0000,300.82,302.14,297.0,297.25,MSFT,XNAS,2021-09-09T00:00:00+0000
42,292.92,297.84,292.7686,294.23,MSFT,XNAS,2021-10-11T00:00:00+0000,298.42,299.92,295.38,295.71,MSFT,XNAS,2021-09-10T00:00:00+0000
39,295.34,295.44,292.35,292.88,MSFT,XNAS,2021-10-12T00:00:00+0000,297.55,298.53,294.08,296.99,MSFT,XNAS,2021-09-13T00:00:00+0000
36,294.91,297.28,293.49,296.31,MSFT,XNAS,2021-10-13T00:00:00+0000,299.56,301.39,298.1,299.79,MSFT,XNAS,2021-09-14T00:00:00+0000
33,299.21,303.27,297.83,302.75,MSFT,XNAS,2021-10-14T00:00:00+0000,303.26,305.32,301.82,304.82,MSFT,XNAS,2021-09-15T00:00:00+0000
31,302.34,304.45,300.52,304.21,MSFT,XNAS,2021-10-15T00:00:00+0000,303.76,305.31,300.76,305.22,MSFT,XNAS,2021-09-16T00:00:00+0000
29,303.57,307.8,302.69,307.29,MSFT,XNAS,2021-10-18T00:00:00+0000,304.17,304.5,299.53,299.87,MSFT,XNAS,2021-09-17T00:00:00+0000
26,308.35,309.3,307.22,308.23,MSFT,XNAS,2021-10-19T00:00:00+0000,296.33,298.72,289.52,294.3,MSFT,XNAS,2021-09-20T00:00:00+0000
22,309.21,309.7,306.11,307.41,MSFT,XNAS,2021-10-20T00:00:00+0000,295.69,297.54,294.07,294.8,MSFT,XNAS,2021-09-21T00:00:00+0000
18,307.17,311.02,306.36,310.76,MSFT,XNAS,2021-10-21T00:00:00+0000,296.725,300.21,294.51,298.58,MSFT,XNAS,2021-09-22T00:00:00+0000
16,310.4,311.09,307.8,309.16,MSFT,XNAS,2021-10-22T00:00:00+0000,298.845,300.9,297.5339,299.56,MSFT,XNAS,2021-09-23T00:00:00+0000
13,309.36,309.38,306.46,308.13,MSFT,XNAS,2021-10-25T00:00:00+0000,298.23,299.8,296.93,299.35,MSFT,XNAS,2021-09-24T00:00:00+0000
10,311.0,312.4,308.6,310.11,MSFT,XNAS,2021-10-26T00:00:00+0000,296.14,296.47,292.9449,294.17,MSFT,XNAS,2021-09-27T00:00:00+0000
7,316.0,326.0973,316.0,323.17,MSFT,XNAS,2021-10-27T00:00:00+0000,289.795,290.78,282.75,283.52,MSFT,XNAS,2021-09-28T00:00:00+0000
4,324.33,324.87,321.36,324.35,MSFT,XNAS,2021-10-28T00:00:00+0000,285.1,286.77,283.01,284.0,MSFT,XNAS,2021-09-29T00:00:00+0000
1,324.13,332.0,323.9,331.62,MSFT,XNAS,2021-10-29T00:00:00+0000,285.71,287.83,281.62,281.92,MSFT,XNAS,2021-09-30T00:00:00+0000
62,778.4,780.78,763.59,775.22,TSLA,XNAS,2021-10-01T00:00:00+0000,734.08,741.9799,731.2701,734.09,TSLA,XNAS,2021-09-01T00:00:00+0000
57,796.5,806.9699,776.12,781.53,TSLA,XNAS,2021-10-04T00:00:00+0000,734.5,740.97,730.54,732.39,TSLA,XNAS,2021-09-02T00:00:00+0000
54,784.7962,797.31,774.26,780.59,TSLA,XNAS,2021-10-05T00:00:00+0000,732.25,734.0,724.2,733.57,TSLA,XNAS,2021-09-03T00:00:00+0000
51,776.2,786.66,773.22,782.75,TSLA,XNAS,2021-10-06T00:00:00+0000,740.0,760.2,739.26,752.92,TSLA,XNAS,2021-09-07T00:00:00+0000
48,785.46,805.0,783.38,793.61,TSLA,XNAS,2021-10-07T00:00:00+0000,761.58,764.44,740.9,753.87,TSLA,XNAS,2021-09-08T00:00:00+0000
45,796.21,796.38,780.91,785.49,TSLA,XNAS,2021-10-08T00:00:00+0000,753.41,762.0999,751.6301,754.86,TSLA,XNAS,2021-09-09T00:00:00+0000
44,787.65,801.24,785.51,791.94,TSLA,XNAS,2021-10-11T00:00:00+0000,759.6,762.61,734.52,736.27,TSLA,XNAS,2021-09-10T00:00:00+0000
41,800.93,812.3199,796.57,805.72,TSLA,XNAS,2021-10-12T00:00:00+0000,740.2143,744.78,708.9475,743.0,TSLA,XNAS,2021-09-13T00:00:00+0000
38,810.47,815.41,805.7949,811.08,TSLA,XNAS,2021-10-13T00:00:00+0000,742.57,754.47,736.4,744.49,TSLA,XNAS,2021-09-14T00:00:00+0000
35,815.49,820.25,813.3501,818.32,TSLA,XNAS,2021-10-14T00:00:00+0000,745.0,756.86,738.36,755.83,TSLA,XNAS,2021-09-15T00:00:00+0000
30,823.74,843.21,822.35,843.03,TSLA,XNAS,2021-10-15T00:00:00+0000,752.83,758.9,747.61,756.99,TSLA,XNAS,2021-09-16T00:00:00+0000
27,851.79,875.21,851.47,870.11,TSLA,XNAS,2021-10-18T00:00:00+0000,757.15,761.04,750.0,759.49,TSLA,XNAS,2021-09-17T00:00:00+0000
24,877.53,877.95,862.5101,864.27,TSLA,XNAS,2021-10-19T00:00:00+0000,734.5577,742.0,718.6249,730.17,TSLA,XNAS,2021-09-20T00:00:00+0000
21,865.35,869.48,857.4101,865.8,TSLA,XNAS,2021-10-20T00:00:00+0000,734.79,744.7399,730.44,739.38,TSLA,XNAS,2021-09-21T00:00:00+0000
19,856.0,900.0,855.5046,894.0,TSLA,XNAS,2021-10-21T00:00:00+0000,743.5263,753.6699,739.18,751.94,TSLA,XNAS,2021-09-22T00:00:00+0000
17,895.5,910.0,890.96,909.68,TSLA,XNAS,2021-10-22T00:00:00+0000,755.0,758.2,747.92,753.64,TSLA,XNAS,2021-09-23T00:00:00+0000
14,950.53,1045.0,944.2,1024.86,TSLA,XNAS,2021-10-25T00:00:00+0000,745.89,774.8,744.56,774.39,TSLA,XNAS,2021-09-24T00:00:00+0000
9,1024.6899,1094.9399,1001.46,1018.43,TSLA,XNAS,2021-10-26T00:00:00+0000,773.12,799.0,769.31,791.36,TSLA,XNAS,2021-09-27T00:00:00+0000
6,1039.66,1070.88,1030.78,1037.86,TSLA,XNAS,2021-10-27T00:00:00+0000,787.2,795.64,766.1801,777.56,TSLA,XNAS,2021-09-28T00:00:00+0000
3,1068.3051,1081.0,1054.38,1077.04,TSLA,XNAS,2021-10-28T00:00:00+0000,779.8,793.5,770.6901,781.31,TSLA,XNAS,2021-09-29T00:00:00+0000
0,1081.86,1115.21,1073.21,1114.0,TSLA,XNAS,2021-10-29T00:00:00+0000,781.0,789.1,775.0,775.48,TSLA,XNAS,2021-09-30T00:00:00+0000
